tconst,name,genre,film year,rating,nconst,Primary Actor Relative Ratings,Primary Actor Relative Ratings - Mean,Primary Actor Relative Ratings - Std Dev
tt0631195,Cannes Festival 2002,"['Documentary', 'Family', 'News']",2002,2.6,"['nm0000197', 'nm0000138']","[-3.685666868686811, -2.6748945538543603]",-3.1802807112705853,0.5053861574162253
tt0652001,Operation Fortuna,"['Comedy', 'Thriller']",1960,7.7,['nm0000197'],[1.1098232110765425],1.1098232110765425,0.0
tt0696781,Round Up,"['Action', 'Adventure']",1961,7.4,['nm0000197'],[0.8356678121466985],0.8356678121466985,0.0
tt0717200,That Washburn Girl,['Western'],1961,8.3,['nm0000197'],[1.6419522131815112],1.6419522131815112,0.0
tt0723918,Episode dated 22 November 2003,"['Music', 'News']",2003,6.5,"['nm0000197', 'nm0000142', 'nm0004937']","[-0.1971617294541967, -0.4013509214540651, -0.2187380594355621]",-0.2724169034479413,0.0915946514205161
tt0825232,The Bucket List,"['Adventure', 'Comedy', 'Drama']",2007,7.4,"['nm0000197', 'nm0000151']","[0.5875469439076559, 0.3779332559391496]",0.4827400999234028,0.1048068439842531
tt0847884,The Making of 'Blood and Wine',['Documentary'],2006,6.5,"['nm0000197', 'nm0000323']","[-0.2133435252089168, -0.2046582843470175]",-0.2090009047779671,0.0043426204309496
tt0871147,The Departed: Facing a Loaded Gun,"['Documentary', 'Short']",2006,6.8,"['nm0000197', 'nm0000138', 'nm0000354', 'nm0000640']","[0.0554179418026871, 0.091707378327343, 0.394162007121715, -0.2634798798666228]",0.0694518618462805,0.232901525333353
tt1006834,Beyond Batman: From Jack to the Joker,"['Documentary', 'Short']",2005,7.5,['nm0000197'],[0.6879219634146704],0.6879219634146704,0.0
tt1006838,Beyond Batman: Nocturnal Overtures - The Music of Batman,"['Documentary', 'Music', 'Short']",2005,6.7,['nm0000197'],[-0.0287752819496071],-0.0287752819496071,0.0
tt10691004,Dr. Jack and Mr. Nicholson,"['Biography', 'Documentary']",2019,6.7,['nm0000197'],[-0.1042903288049677],-0.1042903288049677,0.0
tt1075325,How the Rhinoceros Got His Skin and How the Camel Got His Hump,['Animation'],1987,6.7,['nm0000197'],[0.0683154925787143],0.0683154925787143,0.0
tt1104009,Plattenladen,['Comedy'],2004,7.8,['nm0000197'],[0.9620773623445144],0.9620773623445144,0.0
tt1140953,Chinatown: Filming,"['Documentary', 'Short']",2007,6.9,['nm0000197'],[0.1396111655549823],0.1396111655549823,0.0
tt1140954,Chinatown: The Beginning and the End,"['Documentary', 'Short']",2007,6.4,['nm0000197'],[-0.3083246127976912],-0.3083246127976912,0.0
tt1140955,Chinatown: The Legacy,"['Documentary', 'Short']",2007,6.4,['nm0000197'],[-0.3083246127976912],-0.3083246127976912,0.0
tt1144822,View from the Overlook: Crafting 'the Shining',"['Documentary', 'Short']",2007,7.3,['nm0000197'],[0.4979597882371206],0.4979597882371206,0.0
tt1149982,Lost Kubrick: The Unfinished Films of Stanley Kubrick,"['Documentary', 'Short']",2007,7.0,['nm0000197'],[0.2291983212255167],0.2291983212255167,0.0
tt1185788,Are You Listening?,"['Drama', 'Horror', 'Mystery']",1956,8.8,['nm0000197'],[2.116857651125385],2.116857651125385,0.0
tt11905514,Kubrick by Kubrick,['Documentary'],2020,7.3,['nm0000197'],[0.4278386733000002],0.4278386733000002,0.0
tt12054702,Walt Whitman: Poet for a New Age,"['Biography', 'Short']",1971,7.9,['nm0000197'],[1.2296642713169716],1.2296642713169716,0.0
tt12358586,Notes on an American Film Director at Work,['Documentary'],2008,7.2,"['nm0000197', 'nm0000138', 'nm0000354']","[0.4029787006483462, 0.2967597045187558, 0.6288339958760456]",0.4428574670143825,0.1384703837174078
tt1297268,Batman Villains: The Joker,"['Documentary', 'Short']",2005,5.6,['nm0000197'],[-1.0142339943254894],-1.0142339943254894,0.0
tt1341188,How Do You Know,"['Comedy', 'Drama', 'Romance']",2010,5.4,['nm0000197'],[-1.2203779652577584],-1.2203779652577584,0.0
tt1463423,Writing a Bucket List,"['Documentary', 'Short']",2008,7.2,"['nm0000197', 'nm0000151']","[0.4029787006483462, 0.1960584104069144]",0.2995185555276303,0.1034601451207158
tt1513743,Dans le labyrinthe de Marienbad,"['Documentary', 'Short']",2009,6.8,"['nm0000197', 'nm0000026']","[0.039236146047967, -0.0048629575732146]",0.0171865942373761,0.0220495518105908
tt15441582,AFI Life Achievement Award,['\\\\N'],1973,7.0,"['nm0000197', 'nm0000493', 'nm0000142', 'nm0000060', 'nm0000018', 'nm0000032']","[0.4125920064456788, -0.0879286957035377, -0.4878402458391899, 0.1306926339571386, 0.2375834201777531, 0.2246932118658473]",0.071632055150615,0.2913126334351227
tt1630033,Batman Villains: Bob the Goon,"['Documentary', 'Short']",2005,7.3,['nm0000197'],[0.5087476520736007],0.5087476520736007,0.0
tt1636734,Batman Heroes: Alexander Knox,"['Documentary', 'Short']",2005,6.3,['nm0000197'],[-0.3871239046317464],-0.3871239046317464,0.0
tt1778199,America Lost and Found: The BBS Story,"['Documentary', 'Drama']",2010,5.5,['nm0000197'],[-1.130790809587224],-1.130790809587224,0.0
tt1779536,Batman,"['Comedy', 'Short']",2008,5.9,"['nm0000197', 'nm0000288']","[-0.7616543230686049, -0.6740564986119033]",-0.7178554108402542,0.0437989122283508
tt2112684,Sport in America: Our Defining Stories,['Documentary'],2013,8.8,['nm0000197'],[1.809403531785702],1.809403531785702,0.0
tt2181736,The Fight Game with Jim Lampley,['Talk-Show'],2012,7.3,['nm0000197'],[0.4709901286459205],0.4709901286459205,0.0
tt3357800,The Doctor in One Flew Over the Cuckoo's Nest,"['Documentary', 'Short']",2013,6.5,['nm0000197'],[-0.2511010486365971],-0.2511010486365971,0.0
tt6302686,"Dr. Kubrick, Or: How I Learned to Stop Worrying & Love Eyes Wide Shut","['Documentary', 'Short']",2014,7.8,"['nm0000197', 'nm0000018', 'nm0000129']","[0.908138043162114, 1.1376272791869912, 1.2590986740506442]",1.1016213321332498,0.1455235657338618
tt7842752,Jack Nicholson - Das teuflische Grinsen Hollywoods,"['Biography', 'Documentary']",2017,7.8,['nm0000197'],[0.8919562474073939],0.8919562474073939,0.0
tt0042727,The Men,['Drama'],1950,7.1,['nm0000008'],[-0.017108348156849],-0.017108348156849,0.0
tt0044081,A Streetcar Named Desire,['Drama'],1951,8.0,['nm0000008'],[0.7849500588443735],0.7849500588443735,0.0
tt0045296,Viva Zapata!,"['Biography', 'Drama', 'History']",1952,7.3,"['nm0000008', 'nm0000063']","[0.1552732112953702, 0.7262347213721465]",0.4407539663337583,0.2854807550383881
tt0045943,Julius Caesar,"['Biography', 'Drama', 'History']",1953,7.3,['nm0000008'],[0.1519805376120898],0.1519805376120898,0.0
tt0046903,Désirée,"['Biography', 'Drama', 'History']",1954,6.4,['nm0000008'],[-0.656663216755691],-0.656663216755691,0.0
tt0047296,On the Waterfront,"['Crime', 'Drama', 'Thriller']",1954,8.1,['nm0000008'],[0.8645554912039228],0.8645554912039228,0.0
tt0047677,The Wild One,"['Crime', 'Drama', 'Romance']",1953,6.8,['nm0000008'],[-0.2954367294348555],-0.2954367294348555,0.0
tt0047753,MGM Parade,['Documentary'],1955,6.5,['nm0000008'],[-0.5704724370295817],-0.5704724370295817,0.0
tt0048140,Guys and Dolls,"['Comedy', 'Crime', 'Musical']",1955,7.2,['nm0000008'],[0.055911736836142],0.055911736836142,0.0
tt0049830,The Teahouse of the August Moon,"['Comedy', 'Drama']",1956,6.8,['nm0000008'],[-0.3053147504846942],-0.3053147504846942,0.0
tt0050933,Sayonara,"['Drama', 'Romance']",1957,7.1,['nm0000008'],[-0.0401570639398074],-0.0401570639398074,0.0
tt0052415,The Young Lions,"['Action', 'Drama', 'War']",1958,7.2,['nm0000008'],[0.0460337157863025],0.0460337157863025,0.0
tt0052832,The Fugitive Kind,"['Drama', 'Romance']",1960,7.1,['nm0000008'],[-0.0500350849896468],-0.0500350849896468,0.0
tt0055257,One-Eyed Jacks,"['Drama', 'Western']",1961,7.1,['nm0000008'],[-0.0533277586729264],-0.0533277586729264,0.0
tt0056264,Mutiny on the Bounty,"['Adventure', 'Drama', 'History']",1962,7.2,['nm0000008'],[0.0328630210531836],0.0328630210531836,0.0
tt0056632,The Ugly American,"['Adventure', 'Drama', 'Thriller']",1963,6.7,['nm0000008'],[-0.4178469196770413],-0.4178469196770413,0.0
tt0057878,Bedtime Story,['Comedy'],1964,6.8,['nm0000008'],[-0.3316561399509329],-0.3316561399509329,0.0
tt0059470,Morituri,"['Action', 'Drama', 'Thriller']",1965,7.0,['nm0000008'],[-0.1559819068154341],-0.1559819068154341,0.0
tt0060120,The Appaloosa,"['Action', 'Drama', 'Romance']",1966,6.3,['nm0000008'],[-0.7856587543644374],-0.7856587543644374,0.0
tt0060232,The Chase,"['Crime', 'Drama', 'Thriller']",1966,7.2,"['nm0000008', 'nm0000602']","[0.0196923263200646, 0.312537492553838]",0.1661149094369513,0.1464225831168867
tt0060687,Meet Marlon Brando,"['Documentary', 'Short']",1966,7.6,['nm0000008'],[0.3776261399576205],0.3776261399576205,0.0
tt0061523,A Countess from Hong Kong,"['Comedy', 'Romance']",1967,6.1,"['nm0000008', 'nm0000122']","[-0.967918334866496, -0.538516151129357]",-0.7532172429979265,0.2147010918685695
tt0062185,Reflections in a Golden Eye,"['Drama', 'Romance', 'Thriller']",1967,6.8,['nm0000008'],[-0.3415341610007723],-0.3415341610007723,0.0
tt0062776,Candy,"['Adventure', 'Comedy', 'Fantasy']",1968,5.3,"['nm0000008', 'nm0000009']","[-1.6870786358248882, -1.577886671609159]",-1.6324826537170236,0.0545959821078645
tt0064728,The Night of the Following Day,"['Action', 'Crime', 'Drama']",1969,6.0,['nm0000008'],[-1.063987135642444],-1.063987135642444,0.0
tt0064866,Burn!,"['Action', 'Drama', 'War']",1969,7.2,['nm0000008'],[0.0098143052702252],0.0098143052702252,0.0
tt0068646,The Godfather,"['Crime', 'Drama']",1972,9.2,"['nm0000008', 'nm0000199']","[1.7896053524081668, 0.7723925344387893]",1.280998943423478,0.5086064089846888
tt0068846,Letter to Jane: An Investigation About a Still,['Documentary'],1972,5.8,"['nm0000008', 'nm0000020', 'nm0000015']","[-1.2528320635110617, -1.3241135864141658, -1.3092819952718304]",-1.2954092150656862,0.0307094382867594
tt0069007,The Nightcomers,"['Drama', 'Horror', 'Thriller']",1971,5.9,['nm0000008'],[-1.1600559364183929],-1.1600559364183929,0.0
tt0070849,Last Tango in Paris,"['Drama', 'Romance']",1972,7.0,['nm0000008'],[-0.1790306225983925],-0.1790306225983925,0.0
tt0078140,Raoni,['Documentary'],1978,6.4,['nm0000008'],[-0.7356873851544056],-0.7356873851544056,0.0
tt0078346,Superman,"['Action', 'Adventure', 'Sci-Fi']",1978,7.3,"['nm0000008', 'nm0000432']","[0.0696636955300957, 0.5898916007763806]",0.3297776481532381,0.2601139526231424
tt0078788,Apocalypse Now,"['Drama', 'Mystery', 'War']",1979,8.4,"['nm0000008', 'nm0000380', 'nm0000640']","[1.050689009350097, 0.961377439313608, 1.4153839327252635]",1.1424834604629894,0.1963842151775015
tt0080754,The Formula,"['Crime', 'Thriller']",1980,5.6,"['nm0000008', 'nm0001715']","[-1.458140359796078, -1.4379208565025603]",-1.448030608149319,0.0101097516467588
tt0099615,The Freshman,"['Comedy', 'Crime']",1990,6.5,['nm0000008'],[-0.6857160159443737],-0.6857160159443737,0.0
tt0101961,The Godfather Family: A Look Inside,['Documentary'],1990,7.8,"['nm0000008', 'nm0000134']","[0.4775688783776843, 0.7520568312346343]",0.6148128548061593,0.137243976428475
tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,['Documentary'],1991,8.1,"['nm0000008', 'nm0000640']","[0.742726564922571, 0.976617033739549]",0.8596717993310601,0.1169452344084889
tt0102027,"Here's Looking at You, Warner Bros.",['Documentary'],1991,7.5,"['nm0000008', 'nm0000142', 'nm0000007', 'nm0000022', 'nm0000010']","[0.2058258444662368, 0.4221289770339641, 0.110687523863764, 1.3363598618455736, 0.4909578186628118]",0.5131920051744701,0.4342524539076716
tt0103962,Christopher Columbus: The Discovery,"['Adventure', 'Biography', 'Drama']",1992,4.5,['nm0000008'],[-2.4819704314987154],-2.4819704314987154,0.0
tt0112883,Don Juan DeMarco,"['Comedy', 'Drama', 'Romance']",1994,6.7,"['nm0000008', 'nm0000136']","[-0.5199198038587143, -0.6266583367235191]",-0.5732890702911166,0.0533692664324024
tt0116654,The Island of Dr. Moreau,"['Horror', 'Sci-Fi', 'Thriller']",1996,4.6,['nm0000008'],[-2.405657672822445],-2.405657672822445,0.0
tt0118768,The Brave,['Drama'],1997,6.3,"['nm0000008', 'nm0000136']","[-0.8877316385461104, -0.9483326824964076]",-0.9180321605212588,0.0303005219751485
tt0120678,Free Money,"['Comedy', 'Crime']",1998,5.0,['nm0000008'],[-2.0543092065514488],-2.0543092065514488,0.0
tt0128875,Fame in the Twentieth Century,['Documentary'],1993,8.1,"['nm0000008', 'nm0000125']","[0.736141217556012, 0.9635040972340664]",0.8498226573950391,0.1136814398390271
tt0145937,Naqoyqatsi,"['Documentary', 'Music']",2002,6.6,['nm0000008'],[-0.6357446467343426],-0.6357446467343426,0.0
tt0150742,The Godfather Trilogy: 1901-1980,"['Crime', 'Drama', 'Thriller']",1992,9.3,"['nm0000008', 'nm0000134', 'nm0000199', 'nm0000380']","[1.8132353321519608, 2.00814879680314, 1.3302783253159147, 1.9101374430138955]",1.7654499743212275,0.2605259039672509
tt0152444,The Silver Screen: Color Me Lavender,"['Documentary', 'History']",1997,6.4,"['nm0000008', 'nm0000007']","[-0.7982481851367208, -0.98331967899077]",-0.8907839320637454,0.0925357469270246
tt0201428,Apocalypse Pooh,"['Animation', 'Comedy', 'Short']",1987,6.5,"['nm0000008', 'nm0000380', 'nm0000640']","[-0.6758379948945342, -0.4798264039432354, -0.1482463524931594]",-0.4346369171103097,0.2177457272035625
tt0210482,All Power to the People! (The Black Panther Party and Beyond),['Documentary'],1996,8.1,['nm0000008'],[0.7262631965061725],0.7262631965061725,0.0
tt0227445,The Score,"['Action', 'Crime', 'Drama']",2001,6.8,"['nm0000008', 'nm0000134', 'nm0001570']","[-0.4534850662322847, 0.0739034876883485, -0.1402193183819605]",-0.1732669656419655,0.2165698993299707
tt0249979,Sophia Loren: Actress Italian Style,"['Biography', 'Documentary']",1997,9.3,"['nm0000008', 'nm0000122', 'nm0000026']","[1.796771963735563, 2.20157205927834, 3.047114286642336]",2.3484861032187463,0.5209138017901292
tt0278490,A Huey P. Newton Story,"['Biography', 'Documentary', 'Drama']",2001,7.1,['nm0000008'],[-0.1850347060041176],-0.1850347060041176,0.0
tt0279411,Sidney Poitier: One Bright Light,"['Biography', 'Documentary']",2000,7.6,['nm0000008'],[0.2656752347261081],0.2656752347261081,0.0
tt0294603,Goldwyn: The Man and His Movies,"['Biography', 'Documentary']",2001,7.9,"['nm0000008', 'nm0000163']","[0.5308329212709957, 0.8509091291792692]",0.6908710252251324,0.1600381039541367
tt0295131,Saturday Night with Connie Chung,['News'],1989,6.3,['nm0000008'],[-0.8613902490798725],-0.8613902490798725,0.0
tt0308675,Operation Teahouse,"['Documentary', 'Short']",1956,5.6,['nm0000008'],[-1.3791161913973633],-1.3791161913973633,0.0
tt0319796,The Making of 'Superman: The Movie',['Documentary'],1980,7.3,"['nm0000008', 'nm0000432']","[0.0630783481635366, 0.5850240724758371]",0.3240512103196868,0.2609728621561503
tt0323504,One on One: Classic Television Interviews,['Documentary'],1993,6.8,"['nm0000008', 'nm0000007']","[-0.427143676766046, -0.566190630498602]",-0.4966671536323239,0.069523476866278
tt0324201,Tennessee Williams: Orpheus of the American Stage,"['Biography', 'Documentary']",1994,8.0,['nm0000008'],[0.6433650904633437],0.6433650904633437,0.0
tt0326848,Edward R. Murrow: The Best of 'Person to Person',['\\\\N'],1993,7.1,"['nm0000008', 'nm0000056']","[-0.1586933165378788, 0.1687510388021776]",0.0050288611321493,0.1637221776700282
tt0330348,Great Romances of the 20th Century: Elizabeth Taylor and Richard Burton,['Documentary'],1997,7.4,"['nm0000008', 'nm0000009', 'nm0000015']","[0.09658634895717, -0.1169865054526974, 0.0569329146955022]",0.0121775860666582,0.0927563856407434
tt0343334,The 30th Annual Academy Awards,['Family'],1958,8.4,['nm0000008'],[1.1198351566989715],1.1198351566989715,0.0
tt0371805,The Magic Behind the Cape,"['Documentary', 'Short']",2001,8.0,['nm0000008'],[0.6203163746803845],0.6203163746803845,0.0
tt0371810,Making 'Superman': Filming the Legend,"['Documentary', 'Short']",2001,7.5,"['nm0000008', 'nm0000432']","[0.172899107633439, 0.7564917576792511]",0.464695432656345,0.2917963250229061
tt0371980,Taking Flight: The Development of 'Superman',"['Documentary', 'Short']",2001,7.4,"['nm0000008', 'nm0000432']","[0.0834156542240502, 0.645203391499688]",0.3643095228618691,0.2808938686378188
tt0372351,James Dean and Marlon Brando,['Documentary'],2003,7.8,"['nm0000008', 'nm0000015']","[0.4347641204950471, 0.3995795853352779]",0.4171718529151624,0.0175922675798846
tt0386283,None Without Sin,"['Biography', 'Documentary']",2003,8.3,['nm0000008'],[0.8821813875419933],0.8821813875419933,0.0
tt0442674,The Godfather,"['Action', 'Crime', 'Drama']",2006,8.3,"['nm0000008', 'nm0000380']","[0.8723033664921539, 1.306755552150264]",1.089529459321209,0.217226092829055
tt0471017,Lost in the Thinking,"['Comedy', 'Short']",2005,7.4,"['nm0000008', 'nm0000080']","[0.0702449594909313, 0.5422502606059653]",0.3062476100484483,0.2360026505575169
